nom,lines,lat,lon,arrondissement,figure_historique,couleur,ouverte_apres_1980,rive_gauche,has_rer
Argentine,1,48.875278,2.29,1,0,1,0,0,0
Bastille,1 5 8,48.853082,2.369077,1,0,0,0,0,0
Bérault,1,48.845278,2.428333,94,0,0,0,0,0
Champs-Élysées - Clemenceau,1 13,48.8675,2.3135,1,1,0,0,0,0
Charles de Gaulle - Étoile,1 2 6 A,48.873889,2.295,1,1,0,0,0,1
Château de Vincennes,1,48.844444,2.44,1,0,0,0,0,0
Châtelet,1 4 7 11 14 A B D,48.858352,2.347324,1,0,0,1,0,1
Concorde,1 8 12,48.86541,2.32111,1,0,0,0,0,0
Esplanade de La Défense,1,48.888333,2.25,92,0,0,1,0,0
Franklin D. Roosevelt,1 9,48.868977,2.30989,1,1,0,0,0,0
Gare de Lyon,1 14 A D,48.844722,2.373889,1,0,0,1,0,1
George V,1,48.871944,2.300556,1,1,0,0,0,0
Hôtel de Ville,1 11,48.857487,2.351525,1,0,0,0,0,0
La Défense,1 A E,48.891852,2.238539,92,0,0,1,0,1
Les Sablons,1,48.880833,2.272222,92,0,0,0,0,0
Louvre - Rivoli,1,48.86108,2.340283,1,0,0,0,0,0
Nation,1 2 6 9 A,48.848333,2.395833,1,0,0,0,0,1
Palais Royal–Musée du Louvre,1 7,48.862644,2.336578,1,0,0,0,0,0
Pont de Neuilly,1,48.885,2.259722,92,0,0,0,0,0
Porte de Vincennes,1,48.847326,2.407759,1,0,0,0,0,0
Porte Maillot,1 C,48.878056,2.281944,1,0,0,0,0,1
Reuilly - Diderot,1 8,48.846944,2.386389,1,0,0,0,0,0
Saint-Mandé,1,48.846111,2.418889,94,0,0,0,0,0
Saint-Paul,1,48.855214,2.360859,1,0,0,0,0,0
Tuileries,1,48.864531,2.329617,1,0,0,0,0,0
Alexandre Dumas,2,48.855907,2.39479,1,1,0,0,0,0
Anvers,2,48.883007,2.344849,1,0,0,0,0,0
Avron,2,48.85194,2.397863,1,0,0,0,0,0
Barbès - Rochechouart,2 4,48.883611,2.350556,1,1,0,0,0,0
Belleville,2 11,48.872083,2.376947,1,0,0,0,0,0
Blanche,2,48.883459,2.333703,1,0,1,0,0,0
Colonel Fabien,2,48.877136,2.37116,1,1,0,0,0,0
Courcelles,2,48.879167,2.304167,1,0,0,0,0,0
Couronnes,2,48.869521,2.379861,1,0,0,0,0,0
Jaurès,2 5 7bis,48.88292,2.37067,1,0,0,0,0,0
La Chapelle,2 B D E,48.884411,2.360288,1,0,0,0,0,1
Ménilmontant,2,48.866248,2.383618,1,0,0,0,0,0
Monceau,2,48.88,2.308333,1,0,0,0,0,0
Père Lachaise,2 3,48.862921,2.387388,1,0,0,0,0,0
Philippe Auguste,2,48.858021,2.390938,1,0,0,0,0,0
Pigalle,2 12,48.882255,2.337573,1,0,0,0,0,0
Place de Clichy,2 13,48.883889,2.3275,1,0,0,0,0,0
