nom,line,mode,order,lat,lon,arrondissement,figure_historique,couleur,ouverte_apres_1980,rive_gauche,has_rer,has_tram
La Défense (Grande Arche),1,METRO,1,48.89213543098125,2.2370151812077856,92,0,0,0,0,0,1
Esplanade de la Défense,1,METRO,2,48.88800894593748,2.2500587372950065,92,0,0,0,1,0,0
Pont de Neuilly,1,METRO,3,48.88468472414712,2.2607160495433503,92,0,0,0,0,0,0
Les Sablons,1,METRO,4,48.881050441063145,2.2723035623592205,92,0,0,0,0,0,0
Porte Maillot,1,METRO,5,48.877802129957345,2.2824524639359045,17,0,0,0,0,0,0
Argentine,1,METRO,6,48.875383816476266,2.290148271742768,17,0,1,0,0,0,0
Charles de Gaulle - Étoile,1,METRO,7,48.87511188226749,2.2958783604223547,17,1,0,0,0,1,0
George V,1,METRO,8,48.872062034264175,2.300295922410982,8,1,0,0,0,0,0
Franklin D. Roosevelt,1,METRO,9,48.86905004286815,2.309729269438982,8,1,0,0,0,0,0
Champs-Élysées - Clemenceau,1,METRO,10,48.867628454929594,2.3143149128844804,8,1,0,0,0,0,0
Concorde,1,METRO,11,48.866166958916516,2.324585310879803,1,0,0,0,0,0,0
Tuileries,1,METRO,12,48.86464518947193,2.329048894665331,1,0,0,0,0,0,0
Palais Royal - Musée du Louvre,1,METRO,13,48.86269238136798,2.335276120074395,1,0,0,0,0,0,0
Louvre - Rivoli,1,METRO,14,48.86113679284923,2.3402029549053185,1,0,0,0,0,0,0
Châtelet,1,METRO,15,48.858579763589525,2.347881677716951,1,0,0,1,0,0,0
Hôtel de Ville,1,METRO,16,48.85710539723286,2.352956655702459,4,0,0,0,0,0,0
Saint-Paul (Le Marais),1,METRO,17,48.85518742160445,2.3608852562751967,4,0,0,0,0,0,0
Bastille,1,METRO,18,48.85196422011205,2.368692796099789,12,0,0,0,0,0,0
Gare de Lyon,1,METRO,19,48.845892686507405,2.373658253991729,12,0,0,1,0,1,0
Reuilly - Diderot,1,METRO,20,48.84720216018846,2.3851026686267773,12,0,0,0,0,0,0
Nation,1,METRO,21,48.84764624575034,2.3963668896613113,12,0,0,0,0,1,0
Porte de Vincennes,1,METRO,22,48.84726366558476,2.4079949837065446,12,0,0,0,0,0,1
Saint-Mandé,1,METRO,23,48.846427326770986,2.4190147522420715,94,0,0,0,0,0,0
Bérault,1,METRO,24,48.84554919216388,2.4290262652466583,94,0,0,0,0,0,0
Château de Vincennes,1,METRO,25,48.84456096014731,2.4387524697059666,56,0,0,0,0,0,0
Nation,2,METRO,1,48.84845279707999,2.3957988351125254,11,0,0,0,0,1,0
